Epoch,loss(train),loss(val),delta1,delta2,delta3,RMS,Log,Rel,SqRel
1.0,2.4035089015960693,1.5762603282928467,0.8099533915519714,0.9612098932266235,0.9927456974983215,0.5066337585449219,0.060518406331539154,0.14660067856311798,0.3743663728237152
2.0,1.809987187385559,1.5283923149108887,0.8181594014167786,0.9666611552238464,0.9936558604240417,0.5042572617530823,0.059158239513635635,0.14505630731582642,0.37280774116516113
3.0,1.6765906810760498,1.4807770252227783,0.8377764225006104,0.9696860313415527,0.9936090111732483,0.49010753631591797,0.05590720474720001,0.1264944225549698,0.3487186133861542
4.0,1.6153887510299683,1.4968823194503784,0.8394848108291626,0.9704107642173767,0.9935845136642456,0.4818089008331299,0.05552620813250542,0.13018698990345,0.35318461060523987
5.0,1.578513741493225,1.4946485757827759,0.8333194255828857,0.9681835174560547,0.9934214353561401,0.5003907680511475,0.056356657296419144,0.1309094876050949,0.35413607954978943
6.0,1.5516881942749023,1.4709131717681885,0.8452199697494507,0.9689610004425049,0.9926698207855225,0.4839736521244049,0.05460001155734062,0.12941521406173706,0.3512006402015686
7.0,1.5399870872497559,1.5187193155288696,0.8174689412117004,0.964497983455658,0.9927891492843628,0.5204073190689087,0.058954495936632156,0.13176009058952332,0.35526958107948303
8.0,1.526830792427063,1.5092239379882812,0.8374130725860596,0.9670202732086182,0.9915024042129517,0.4967237412929535,0.055578675121068954,0.12808309495449066,0.3499016761779785
9.0,1.5123374462127686,1.5009665489196777,0.8349762558937073,0.9662739634513855,0.9918544888496399,0.5010455250740051,0.055734045803546906,0.12855632603168488,0.3501495122909546
10.0,1.5016679763793945,1.6041579246520996,0.8004052639007568,0.9601298570632935,0.990311861038208,0.535557210445404,0.06316810846328735,0.1407053917646408,0.3681911826133728
11.0,1.3403650522232056,1.4670742750167847,0.8414757251739502,0.968885064125061,0.9925510287284851,0.48443570733070374,0.05419275537133217,0.12631158530712128,0.3467368483543396
12.0,1.3016746044158936,1.4667528867721558,0.843222975730896,0.9690883159637451,0.9924258589744568,0.4845626652240753,0.0539664626121521,0.12552228569984436,0.3458094894886017
13.0,1.285352110862732,1.4673311710357666,0.8421635627746582,0.9686979055404663,0.9923694133758545,0.48669975996017456,0.05431443452835083,0.12545084953308105,0.3457171618938446
14.0,1.2755829095840454,1.4668521881103516,0.8425998687744141,0.9684731960296631,0.9926387071609497,0.48529481887817383,0.053998686373233795,0.12631627917289734,0.3467542231082916
15.0,1.2641375064849854,1.4640763998031616,0.8437264561653137,0.9694923162460327,0.9925312399864197,0.48284226655960083,0.05390816554427147,0.12699107825756073,0.34762030839920044
16.0,1.2577235698699951,1.4619941711425781,0.84280925989151,0.9685982465744019,0.9924113750457764,0.48374471068382263,0.05401031672954559,0.1261506974697113,0.3463042676448822
17.0,1.251886010169983,1.4639196395874023,0.8431419730186462,0.9689843654632568,0.9926838278770447,0.4855819344520569,0.05402929708361626,0.1255134642124176,0.345974326133728
18.0,1.245231032371521,1.4647144079208374,0.8433817625045776,0.9691888093948364,0.9927461743354797,0.4858447313308716,0.05396827682852745,0.12500479817390442,0.34520435333251953
19.0,1.2400155067443848,1.4771490097045898,0.8389999866485596,0.9677927494049072,0.9925327301025391,0.49218541383743286,0.05461343005299568,0.12743543088436127,0.34825077652931213
20.0,1.235220193862915,1.4790997505187988,0.8396774530410767,0.9682782292366028,0.9921549558639526,0.4886009991168976,0.0549604669213295,0.13184364140033722,0.3539907932281494
