Epoch,loss(train),loss(val),delta1,delta2,delta3,RMS,Log,Rel,SqRel
1.0,2.717130422592163,1.7350091934204102,0.6926071643829346,0.9376679062843323,0.9867479205131531,0.6257282495498657,0.07978443056344986,0.1662302315235138,0.4020375609397888
2.0,1.953918218612671,1.6090401411056519,0.7874940633773804,0.9584605097770691,0.9902743101119995,0.5467382073402405,0.06501591950654984,0.142054945230484,0.3702984154224396
3.0,1.789780616760254,1.5555685758590698,0.8173261880874634,0.9655585289001465,0.9924717545509338,0.5151647925376892,0.05959618091583252,0.14564087986946106,0.3738510310649872
4.0,1.684140920639038,1.5145248174667358,0.8343367576599121,0.9669973254203796,0.992739737033844,0.490096777677536,0.056412793695926666,0.1340959072113037,0.35819122195243835
5.0,1.6154866218566895,1.5115712881088257,0.8332862854003906,0.9674447178840637,0.9924994707107544,0.4937790334224701,0.0567367784678936,0.13654829561710358,0.36103424429893494
6.0,1.56698477268219,1.4878647327423096,0.84182208776474,0.9689456224441528,0.992777943611145,0.4861845076084137,0.05531204119324684,0.13041873276233673,0.35336023569107056
7.0,1.5250731706619263,1.491613507270813,0.834913432598114,0.9680160880088806,0.9927801489830017,0.4928571283817291,0.05693451315164566,0.13775500655174255,0.3632587194442749
8.0,1.4941939115524292,1.4799383878707886,0.8398531675338745,0.9671704769134521,0.9928215742111206,0.4888684153556824,0.05523502081632614,0.12988582253456116,0.35195767879486084
9.0,1.467442512512207,1.4686014652252197,0.8410868644714355,0.9677955508232117,0.9930459260940552,0.4826105833053589,0.05511258915066719,0.13042595982551575,0.35267966985702515
10.0,1.4470624923706055,1.4663193225860596,0.8355262279510498,0.9677559733390808,0.9929855465888977,0.4875922203063965,0.056198831647634506,0.13409671187400818,0.3574177324771881
11.0,1.3471529483795166,1.4431331157684326,0.8501994013786316,0.9703028798103333,0.9933062195777893,0.47300589084625244,0.053394027054309845,0.12512221932411194,0.3455214500427246
12.0,1.3309569358825684,1.438640832901001,0.8496835827827454,0.96975177526474,0.9934449791908264,0.475889652967453,0.053497400134801865,0.124172143638134,0.34441882371902466
13.0,1.3226369619369507,1.439518690109253,0.8495476841926575,0.9699699282646179,0.9934177398681641,0.4758892357349396,0.05349951237440109,0.12459386885166168,0.34495002031326294
14.0,1.3124024868011475,1.4416260719299316,0.8490073084831238,0.9698532819747925,0.9935048222541809,0.4772465229034424,0.05358158051967621,0.12429188936948776,0.34464338421821594
15.0,1.3073517084121704,1.4461469650268555,0.8485257625579834,0.9701006412506104,0.9935992360115051,0.4743248224258423,0.05370409041643143,0.12678512930870056,0.3479889929294586
16.0,1.3046128749847412,1.4395904541015625,0.8481981754302979,0.969735324382782,0.9934459924697876,0.47769084572792053,0.05353173986077309,0.12422633916139603,0.3444446623325348
17.0,1.296724557876587,1.4428225755691528,0.847859263420105,0.9704108238220215,0.9935559630393982,0.47309422492980957,0.05376999080181122,0.12779569625854492,0.34925249218940735
18.0,1.2912815809249878,1.444523572921753,0.8474026918411255,0.9692564606666565,0.9932630062103271,0.476744145154953,0.05380871519446373,0.12689444422721863,0.34763258695602417
19.0,1.2877963781356812,1.4475332498550415,0.8481503129005432,0.9692981839179993,0.993410050868988,0.4795873761177063,0.05384722724556923,0.12398125231266022,0.34425365924835205
20.0,1.2802711725234985,1.448533296585083,0.8457579016685486,0.9689868688583374,0.9933311939239502,0.4802826941013336,0.05396753177046776,0.12548363208770752,0.34614938497543335
