Epoch,loss(train),loss(val),delta1,delta2,delta3,RMS,Log,Rel,SqRel
1.0,6.428414821624756,2.703826665878296,0.11726418137550354,0.4474397301673889,0.8061766028404236,1.7272052764892578,0.2139282524585724,0.6879603266716003,0.8176601529121399
2.0,1.672622799873352,1.6479854583740234,0.7697405219078064,0.9506623148918152,0.9886686205863953,0.5562446713447571,0.06723901629447937,0.15918199717998505,0.38903889060020447
3.0,1.2922085523605347,1.5991066694259644,0.780951201915741,0.9532105922698975,0.989457905292511,0.5428379774093628,0.06562040746212006,0.15679708123207092,0.385315477848053
4.0,1.180312991142273,1.5774672031402588,0.7876905202865601,0.9546165466308594,0.989549458026886,0.5375568270683289,0.06465774029493332,0.15412257611751556,0.3816942274570465
5.0,1.1048893928527832,1.5808141231536865,0.7839598059654236,0.9538413882255554,0.9899260997772217,0.5378476977348328,0.06514201313257217,0.1565672606229782,0.38486695289611816
6.0,1.0468857288360596,1.5489585399627686,0.7937674522399902,0.9562296867370605,0.9901997447013855,0.5297660231590271,0.06383146345615387,0.15426360070705414,0.3815593123435974
7.0,1.0041946172714233,1.5542923212051392,0.7942725419998169,0.9566922783851624,0.9901418685913086,0.5272260904312134,0.0630972683429718,0.14872363209724426,0.375443696975708
8.0,0.9795635342597961,1.5373393297195435,0.7999866008758545,0.9583110213279724,0.9904392957687378,0.5238876938819885,0.062355197966098785,0.14848986268043518,0.3750591576099396
9.0,0.9418507218360901,1.5212512016296387,0.8073623180389404,0.9591542482376099,0.9906683564186096,0.5138890147209167,0.06090346351265907,0.1460481584072113,0.37143003940582275
10.0,0.9099329113960266,1.5157904624938965,0.8068972826004028,0.9620177745819092,0.9914188385009766,0.5170021653175354,0.0607721246778965,0.14303506910800934,0.3681544363498688
11.0,3.0006260871887207,1.553631067276001,0.8150177597999573,0.9631385207176208,0.9917495250701904,0.5069659948348999,0.05943591147661209,0.1403244137763977,0.36470097303390503
12.0,2.941978693008423,1.5525083541870117,0.8152508735656738,0.962643027305603,0.9915050864219666,0.5086874961853027,0.05943983048200607,0.14118793606758118,0.36563757061958313
13.0,2.822366714477539,1.5439201593399048,0.8153249621391296,0.9629524946212769,0.9916594624519348,0.5065805912017822,0.059408169239759445,0.1410447508096695,0.3653816282749176
14.0,2.076889753341675,1.5256794691085815,0.8085764050483704,0.9618375301361084,0.9919086694717407,0.5114858746528625,0.06034689024090767,0.14353811740875244,0.3687587380409241
15.0,1.6573293209075928,1.5117741823196411,0.8161460757255554,0.964002251625061,0.992039680480957,0.5059627294540405,0.05919501557946205,0.13918843865394592,0.36357104778289795
16.0,1.5964430570602417,1.5120359659194946,0.8109020590782166,0.9629574418067932,0.9915962815284729,0.5164147019386292,0.06030375510454178,0.13816110789775848,0.3626747727394104
17.0,1.55435049533844,1.504665493965149,0.8160851001739502,0.9642455577850342,0.9919747114181519,0.5087724924087524,0.059119343757629395,0.13652248680591583,0.3606151044368744
18.0,1.5113862752914429,1.497167944908142,0.8209384083747864,0.9645832777023315,0.9921033382415771,0.5010865926742554,0.05854913592338562,0.13913798332214355,0.3634404242038727
19.0,1.4874247312545776,1.5025972127914429,0.8175177574157715,0.9627254605293274,0.9916719794273376,0.502082109451294,0.058963216841220856,0.14091786742210388,0.36508065462112427
20.0,1.4702954292297363,1.5133394002914429,0.8072719573974609,0.961091935634613,0.9916664361953735,0.5099299550056458,0.06118808314204216,0.15076826512813568,0.3777589797973633
