Epoch,loss(train),loss(val),delta1,delta2,delta3,RMS,Log,Rel,SqRel
1.0,3.8180224895477295,2.2449052333831787,0.6256554126739502,0.8935058116912842,0.9721457362174988,0.7316709756851196,0.09239312261343002,0.2277451455593109,0.46593180298805237
2.0,2.2022719383239746,1.9911788702011108,0.6715198159217834,0.9179139733314514,0.9811183214187622,0.6665883660316467,0.08344921469688416,0.197585329413414,0.43439042568206787
3.0,1.8842259645462036,1.8941123485565186,0.7013252377510071,0.9277185797691345,0.9817901253700256,0.6360485553741455,0.07910125702619553,0.19597971439361572,0.43057459592819214
4.0,1.7082301378250122,1.827451229095459,0.7114593982696533,0.9339073896408081,0.9833738207817078,0.619702935218811,0.07710608839988708,0.19028456509113312,0.4242542088031769
5.0,1.5777250528335571,1.7601028680801392,0.7317361235618591,0.9412551522254944,0.9858150482177734,0.5923935770988464,0.07332156598567963,0.1788271963596344,0.41155436635017395
6.0,1.4801253080368042,1.724150538444519,0.740928590297699,0.9437476992607117,0.9862451553344727,0.5830559134483337,0.07190630584955215,0.17516878247261047,0.40700313448905945
7.0,1.3962817192077637,1.6985869407653809,0.7482864260673523,0.9435448050498962,0.98651123046875,0.5759711861610413,0.07077407091856003,0.17021982371807098,0.4007030725479126
8.0,1.3322161436080933,1.672606110572815,0.755942702293396,0.9469640851020813,0.9876534342765808,0.5691353678703308,0.06947506219148636,0.16707684099674225,0.39725053310394287
9.0,1.2777745723724365,1.658771276473999,0.7584929466247559,0.9505727291107178,0.9877164363861084,0.5597898960113525,0.06903374940156937,0.16450488567352295,0.39493781328201294
10.0,1.236148715019226,1.6335389614105225,0.7673156261444092,0.9499199986457825,0.9876936674118042,0.5570144653320312,0.06774380803108215,0.1602931171655655,0.3894844353199005
11.0,1.1778737306594849,1.6239525079727173,0.7706077098846436,0.9510905146598816,0.9876710772514343,0.548733115196228,0.0672377422451973,0.16163954138755798,0.3906697630882263
12.0,1.165574073791504,1.6158028841018677,0.7696080803871155,0.9517073631286621,0.988247275352478,0.5503219962120056,0.06704144924879074,0.1576327085494995,0.3865395188331604
13.0,1.1600067615509033,1.6240360736846924,0.7711629867553711,0.9509100317955017,0.9874340295791626,0.5498057007789612,0.06729462742805481,0.16297133266925812,0.39207887649536133
14.0,1.1534919738769531,1.6126714944839478,0.7728703022003174,0.9519595503807068,0.9882046580314636,0.5473446249961853,0.06672661751508713,0.1585133820772171,0.38723501563072205
15.0,1.1493035554885864,1.621564507484436,0.7707685828208923,0.9514315724372864,0.987881600856781,0.5498676300048828,0.06699705868959427,0.15842688083648682,0.387252539396286
16.0,1.1424517631530762,1.6163438558578491,0.7708748579025269,0.9516952633857727,0.9877594709396362,0.5474730134010315,0.06719177216291428,0.16270968317985535,0.3917718827724457
17.0,1.1373803615570068,1.614686369895935,0.7732224464416504,0.9519133567810059,0.9877442717552185,0.5465891361236572,0.06690401583909988,0.1612548977136612,0.39014968276023865
18.0,1.1330890655517578,1.6183533668518066,0.7712578773498535,0.9518253207206726,0.987900972366333,0.5480524301528931,0.06713283061981201,0.16212710738182068,0.39116695523262024
19.0,1.128693699836731,1.6112730503082275,0.7716413736343384,0.9512758255004883,0.9874330163002014,0.5480693578720093,0.06730853766202927,0.16520874202251434,0.3942929804325104
20.0,1.1229510307312012,1.6063090562820435,0.7726321816444397,0.9517247080802917,0.9881779551506042,0.5463739633560181,0.06669469177722931,0.15866026282310486,0.3870207667350769
