Epoch,loss(train),loss(val),delta1,delta2,delta3,RMS,Log,Rel,SqRel
1.0,1.907617449760437,1.6493287086486816,0.7977467775344849,0.9620882868766785,0.9918110370635986,0.5347158908843994,0.06242500618100166,0.14581069350242615,0.37441569566726685
2.0,1.3461664915084839,1.570054531097412,0.8041288256645203,0.9644129872322083,0.9923206567764282,0.5213479399681091,0.06143658608198166,0.15089474618434906,0.38017427921295166
3.0,1.1964137554168701,1.5214401483535767,0.8193477988243103,0.9673739075660706,0.9932389259338379,0.5035944581031799,0.0588744580745697,0.14232338964939117,0.369349867105484
4.0,1.10587739944458,1.4991891384124756,0.8317679762840271,0.9691661596298218,0.9936589002609253,0.49280041456222534,0.05662398412823677,0.13488809764385223,0.359419584274292
5.0,1.0428972244262695,1.4864344596862793,0.8353978991508484,0.9695742726325989,0.9935510158538818,0.4904651641845703,0.05633543059229851,0.13563616573810577,0.36071717739105225
6.0,0.9917488694190979,1.463021159172058,0.8391577005386353,0.9717745184898376,0.9939764738082886,0.4896562695503235,0.05553988739848137,0.126646026968956,0.3490046560764313
7.0,0.9584780931472778,1.4459272623062134,0.8480523228645325,0.9711605906486511,0.9940261840820312,0.482540488243103,0.05384949594736099,0.12475018948316574,0.345977246761322
8.0,0.9255942106246948,1.449432373046875,0.847184419631958,0.9716869592666626,0.9940280914306641,0.47738441824913025,0.0540287010371685,0.12859314680099487,0.3509156405925751
9.0,0.9051064848899841,1.4500013589859009,0.8477670550346375,0.9708334803581238,0.9937849640846252,0.47939643263816833,0.0540679395198822,0.12785257399082184,0.3503433167934418
10.0,0.8869137167930603,1.4364759922027588,0.848935067653656,0.9717196226119995,0.9941552877426147,0.47795370221138,0.05328655615448952,0.12347380816936493,0.34409061074256897
11.0,2.963870048522949,1.4776276350021362,0.8542250990867615,0.9729424118995667,0.9941000938415527,0.4711397588253021,0.05254802107810974,0.12349368631839752,0.34418267011642456
12.0,2.0346055030822754,1.4606733322143555,0.8485684990882874,0.9710556864738464,0.9939649701118469,0.48026156425476074,0.05365172401070595,0.12354111671447754,0.34436243772506714
13.0,1.7072666883468628,1.4801981449127197,0.8233998417854309,0.9684922099113464,0.9932018518447876,0.5080360174179077,0.05921246111392975,0.1302454024553299,0.35500243306159973
14.0,1.6195300817489624,1.4527829885482788,0.8466114401817322,0.971510648727417,0.9942295551300049,0.4786382019519806,0.0542767159640789,0.128868967294693,0.35165998339653015
15.0,1.5851889848709106,1.447596788406372,0.8529382348060608,0.9719607830047607,0.9941061735153198,0.47577810287475586,0.05306098610162735,0.12353041023015976,0.3443738520145416
16.0,1.5746362209320068,1.4498157501220703,0.8456310033798218,0.9710617065429688,0.993886411190033,0.4845026135444641,0.05437973886728287,0.12284981459379196,0.34365883469581604
17.0,1.558769941329956,1.4513146877288818,0.844940185546875,0.9717461466789246,0.9941652417182922,0.4784628450870514,0.05479167029261589,0.13189950585365295,0.3558819591999054
18.0,1.550519347190857,1.4432165622711182,0.8525407314300537,0.9720489978790283,0.994117021560669,0.47397559881210327,0.05292338505387306,0.12395599484443665,0.3448284864425659
19.0,1.54349946975708,1.4410825967788696,0.8528260588645935,0.9718522429466248,0.993975818157196,0.475167840719223,0.05278772860765457,0.1219526156783104,0.34217262268066406
20.0,1.5316342115402222,1.4408382177352905,0.852272629737854,0.9718382358551025,0.9939837455749512,0.47232288122177124,0.052814047783613205,0.12309494614601135,0.34336549043655396
