Epoch,loss(train),loss(val),delta1,delta2,delta3,RMS,Log,Rel,SqRel
1.0,2.6677067279815674,1.652565836906433,0.7990685105323792,0.9607306122779846,0.9916762709617615,0.5409789085388184,0.06208845600485802,0.14240680634975433,0.3700827360153198
2.0,2.0015792846679688,1.583153247833252,0.8086349964141846,0.9643480777740479,0.9919096827507019,0.5261912941932678,0.060751982033252716,0.13632987439632416,0.3623570203781128
3.0,1.847233533859253,1.5603781938552856,0.8248924612998962,0.9662418365478516,0.9926324486732483,0.5052108764648438,0.05837630107998848,0.14021995663642883,0.36687538027763367
4.0,1.7527573108673096,1.5303179025650024,0.8285535573959351,0.968007504940033,0.9931007623672485,0.5060675144195557,0.05728878080844879,0.1303820013999939,0.3540642559528351
5.0,1.6876628398895264,1.520688772201538,0.825089693069458,0.9672708511352539,0.9929749965667725,0.5099544525146484,0.057692933827638626,0.1309412717819214,0.3543919324874878
6.0,1.6410177946090698,1.5021040439605713,0.8371444940567017,0.9695706963539124,0.9932559728622437,0.49164843559265137,0.05581476539373398,0.12912841141223907,0.3517087996006012
7.0,1.6048310995101929,1.5010075569152832,0.8350666761398315,0.9701341986656189,0.9935061931610107,0.4912196099758148,0.05597619712352753,0.1313382089138031,0.3547922670841217
8.0,1.5734950304031372,1.5049939155578613,0.8336986303329468,0.9699669480323792,0.9936717748641968,0.48947611451148987,0.05611309036612511,0.13357681035995483,0.3574337959289551
9.0,1.5459694862365723,1.4977189302444458,0.8318889141082764,0.9705682396888733,0.9935781359672546,0.49725645780563354,0.05652661994099617,0.12946026027202606,0.35245445370674133
10.0,1.5260652303695679,1.4932798147201538,0.838933527469635,0.9691775441169739,0.9930558204650879,0.49048715829849243,0.0555654801428318,0.13153065741062164,0.3545384407043457
11.0,1.4577564001083374,1.477047085762024,0.8406274318695068,0.971291184425354,0.9935261607170105,0.4862154722213745,0.05489891394972801,0.12833790481090546,0.3504815995693207
12.0,1.4414410591125488,1.4720664024353027,0.8400169610977173,0.9713781476020813,0.993577778339386,0.4865720272064209,0.05487200990319252,0.12789088487625122,0.34965258836746216
13.0,1.4359136819839478,1.4753614664077759,0.8410331606864929,0.9712372422218323,0.9934518933296204,0.4855130612850189,0.054885029792785645,0.12843018770217896,0.350507527589798
14.0,1.429394245147705,1.4766374826431274,0.8401106595993042,0.9713522791862488,0.9935256242752075,0.48670193552970886,0.05504096671938896,0.1286824345588684,0.35085830092430115
15.0,1.4252914190292358,1.4769715070724487,0.8410844206809998,0.9711310267448425,0.9935941100120544,0.4857666790485382,0.0549980066716671,0.12941183149814606,0.3519030809402466
16.0,1.4210460186004639,1.4766443967819214,0.8391237258911133,0.970792829990387,0.9934934973716736,0.488981157541275,0.055184464901685715,0.12942847609519958,0.3518589735031128
17.0,1.4171974658966064,1.475285291671753,0.8401989340782166,0.9712364673614502,0.993579089641571,0.48690110445022583,0.05500395596027374,0.12911991775035858,0.351300448179245
18.0,1.4166710376739502,1.4740056991577148,0.8401455879211426,0.9709823727607727,0.9934974312782288,0.4865797460079193,0.054967086762189865,0.1295199990272522,0.3518008291721344
19.0,1.4110503196716309,1.475538969039917,0.8408450484275818,0.9709924459457397,0.9934542179107666,0.4865647852420807,0.054934632033109665,0.12849515676498413,0.3504960536956787
20.0,1.4076850414276123,1.476202130317688,0.8408573865890503,0.9709509015083313,0.9934312701225281,0.4867091178894043,0.05502474308013916,0.12941648066043854,0.351788192987442
