Epoch,loss(train),loss(val),delta1,delta2,delta3,RMS,Log,Rel,SqRel
1.0,3.0298187732696533,1.7240989208221436,0.7341493368148804,0.947321891784668,0.9884716272354126,0.6065732836723328,0.07335957139730453,0.15689821541309357,0.3899284601211548
2.0,2.2250492572784424,1.5920743942260742,0.8137576580047607,0.9649945497512817,0.9917978644371033,0.5218974947929382,0.060265298932790756,0.13842201232910156,0.3643012046813965
3.0,2.066758632659912,1.5781856775283813,0.8191432952880859,0.9660539031028748,0.9923348426818848,0.5139102935791016,0.05897665023803711,0.14166013896465302,0.3679487407207489
4.0,1.9710984230041504,1.5381442308425903,0.8265914916992188,0.9669473171234131,0.9926524758338928,0.5074663758277893,0.05761374160647392,0.13142448663711548,0.3548227846622467
5.0,1.9096832275390625,1.5318408012390137,0.8248462080955505,0.9674730896949768,0.9927376508712769,0.5018947720527649,0.057988036423921585,0.14064741134643555,0.3662145733833313
6.0,1.866174340248108,1.5091348886489868,0.8335410952568054,0.9688451886177063,0.9927766919136047,0.4970303177833557,0.05653964728116989,0.13646963238716125,0.3607700765132904
7.0,1.8298271894454956,1.5144811868667603,0.8354061841964722,0.9694692492485046,0.9927822947502136,0.4944649338722229,0.056221216917037964,0.13065601885318756,0.3538927435874939
8.0,1.8011784553527832,1.4874823093414307,0.8379831314086914,0.9688394069671631,0.9929690361022949,0.48972487449645996,0.05537809431552887,0.13070833683013916,0.3527739942073822
9.0,1.7773919105529785,1.5041093826293945,0.8342453241348267,0.9679243564605713,0.9923757314682007,0.49925586581230164,0.05659101530909538,0.1295224130153656,0.35207200050354004
10.0,1.7593321800231934,1.482838749885559,0.8361232876777649,0.9708938002586365,0.9932976365089417,0.4910072684288025,0.05585985630750656,0.12974442541599274,0.35219112038612366
11.0,1.682486891746521,1.4664146900177002,0.8436608910560608,0.9702237844467163,0.9931502342224121,0.48385363817214966,0.05454301834106445,0.1280534267425537,0.3492063879966736
12.0,1.667933702468872,1.4628469944000244,0.8410931825637817,0.9699393510818481,0.9932597875595093,0.49021896719932556,0.05511581525206566,0.1263665109872818,0.3474922180175781
13.0,1.6609379053115845,1.4651206731796265,0.8425354361534119,0.9700688719749451,0.9932346343994141,0.487057089805603,0.05476026609539986,0.12699824571609497,0.34808388352394104
14.0,1.6526204347610474,1.4643646478652954,0.8420060873031616,0.9702907204627991,0.9933509826660156,0.4891878664493561,0.05485892668366432,0.12675286829471588,0.3478880524635315
15.0,1.6488100290298462,1.4698543548583984,0.8424438238143921,0.9702968597412109,0.9932632446289062,0.48583605885505676,0.054691798985004425,0.12827487289905548,0.3497246205806732
16.0,1.6459989547729492,1.4612222909927368,0.8425482511520386,0.9702917337417603,0.9932355284690857,0.4867504835128784,0.054699819535017014,0.12708993256092072,0.34818026423454285
17.0,1.6412328481674194,1.4666225910186768,0.8416884541511536,0.9704986214637756,0.993253767490387,0.48790356516838074,0.05505768954753876,0.12793567776679993,0.34935426712036133
18.0,1.6366413831710815,1.4656949043273926,0.8431313633918762,0.969879686832428,0.9929499626159668,0.48666685819625854,0.05479580909013748,0.12799151241779327,0.34909746050834656
19.0,1.6344645023345947,1.4665617942810059,0.8425505757331848,0.9699257016181946,0.9932703375816345,0.48644277453422546,0.054697271436452866,0.12762652337551117,0.3487478196620941
20.0,1.6289353370666504,1.4685070514678955,0.8417511582374573,0.9695785641670227,0.9931680560112,0.4881540834903717,0.05495797470211983,0.12789808213710785,0.34916988015174866
